,ORG,DST,SECTOR_ID,SDD,TOTAL_CORE,ORG_CTRY,DST_CTRY,ORG_REGION,DST_REGION,IN_SCOPE
50536,235,120,224,2010-03-13,64607.0,172,191,201,174,1
50538,203,235,231,2013-06-12,64609.0,124,172,149,201,1
50539,235,120,224,2016-07-22,64616.0,172,191,201,174,1
50542,235,120,224,2014-07-31,64624.0,172,191,201,174,1
50543,128,235,230,2012-05-18,64632.0,126,172,174,201,1
50545,219,235,113,2014-08-10,64636.0,197,172,180,201,1
50546,203,235,231,2011-10-25,64636.0,124,172,149,201,1
50547,179,235,221,2016-01-14,64640.0,132,172,132,201,1
50548,235,216,112,2011-12-22,64645.0,172,153,201,149,1
50549,120,235,169,2014-09-24,64646.0,191,172,174,201,1
50551,235,120,224,2015-03-12,64647.0,172,191,201,174,1
50553,179,235,221,2015-10-02,64649.0,132,172,132,201,1
50556,235,120,224,2016-08-10,64658.0,172,191,201,174,1
50558,235,219,163,2014-07-29,64664.0,172,197,201,180,1
50560,216,235,190,2012-02-09,64665.0,153,172,149,201,1
50561,216,235,190,2010-11-22,64666.0,153,172,149,201,1
50562,120,235,169,2014-04-06,64671.0,191,172,174,201,1
50564,203,235,231,2013-01-11,64674.0,124,172,149,201,1
50567,203,189,130,2016-08-20,64680.0,124,172,149,201,1
50568,179,235,221,2016-07-20,64682.0,132,172,132,201,1
50570,203,235,231,2015-03-17,64689.0,124,172,149,201,1
50574,203,235,231,2013-03-22,64693.0,124,172,149,201,1
50575,235,120,224,2015-12-23,64695.0,172,191,201,174,1
50577,235,219,163,2012-01-17,64699.0,172,197,201,180,1
50578,128,235,230,2013-06-29,64705.0,126,172,174,201,1
50579,129,235,200,2010-09-25,64708.0,124,172,149,201,1
50580,120,235,169,2016-04-25,64710.0,191,172,174,201,1
50581,203,235,231,2014-01-17,64710.0,124,172,149,201,1
50586,235,216,112,2010-01-30,64722.0,172,153,201,149,1
50588,203,235,231,2015-11-20,64724.0,124,172,149,201,1
50589,129,235,200,2014-07-05,64725.0,124,172,149,201,1
50591,235,120,224,2016-01-07,64728.0,172,191,201,174,1
50592,219,235,113,2015-12-15,64729.0,197,172,180,201,1
50593,235,120,224,2016-04-23,64732.0,172,191,201,174,1
50594,203,235,231,2016-08-30,64732.0,124,172,149,201,1
50596,161,235,210,2016-03-07,64738.0,126,172,174,201,1
50597,235,216,112,2011-01-04,64739.0,172,153,201,149,1
50598,203,235,231,2013-03-16,64740.0,124,172,149,201,1
50599,219,235,113,2013-11-12,64742.0,197,172,180,201,1
50601,235,120,224,2016-03-23,64744.0,172,191,201,174,1
50602,203,235,231,2015-08-01,64744.0,124,172,149,201,1
50603,203,235,231,2013-08-13,64745.0,124,172,149,201,1
50605,179,235,221,2014-06-07,64749.0,132,172,132,201,1
50606,203,189,130,2016-08-27,64749.0,124,172,149,201,1
50610,235,120,224,2015-05-13,64764.0,172,191,201,174,1
50611,235,216,112,2011-06-11,64766.0,172,153,201,149,1
50613,235,216,112,2010-09-26,64771.0,172,153,201,149,1
50616,235,120,224,2014-04-24,64778.0,172,191,201,174,1
50617,179,235,221,2014-10-29,64780.0,132,172,132,201,1
50619,120,235,169,2011-09-11,64781.0,191,172,174,201,1
50621,203,235,231,2016-05-10,64783.0,124,172,149,201,1
50623,219,235,113,2015-09-25,64785.0,197,172,180,201,1
50624,235,120,224,2010-02-20,64786.0,172,191,201,174,1
50625,219,235,113,2010-09-07,64788.0,197,172,180,201,1
50626,203,235,231,2014-04-25,64790.0,124,172,149,201,1
50627,120,235,169,2015-03-09,64792.0,191,172,174,201,1
50630,235,179,212,2014-06-03,64794.0,172,132,201,132,1
50631,216,162,184,2016-03-20,64794.0,153,110,149,201,1
50632,219,235,113,2014-08-21,64795.0,197,172,180,201,1
50633,203,235,231,2016-04-02,64796.0,124,172,149,201,1
50634,219,235,113,2016-01-07,64799.0,197,172,180,201,1
50635,128,235,230,2012-04-24,64799.0,126,172,174,201,1
50636,216,235,190,2011-08-08,64804.0,153,172,149,201,1
50638,216,235,190,2013-05-31,64805.0,153,172,149,201,1
50639,179,235,221,2016-10-14,64806.0,132,172,132,201,1
50641,129,235,200,2010-07-15,64810.0,124,172,149,201,1
50643,179,235,221,2014-08-24,64811.0,132,172,132,201,1
50646,120,235,169,2012-12-26,64813.0,191,172,174,201,1
50648,203,235,231,2014-12-19,64814.0,124,172,149,201,1
50650,235,216,112,2010-06-10,64815.0,172,153,201,149,1
50652,120,235,169,2012-09-10,64816.0,191,172,174,201,1
50653,120,235,169,2016-01-29,64816.0,191,172,174,201,1
50655,235,120,224,2014-05-15,64821.0,172,191,201,174,1
50658,128,235,230,2012-09-23,64825.0,126,172,174,201,1
50660,179,235,221,2012-04-15,64835.0,132,172,132,201,1
50662,235,219,163,2012-03-10,64840.0,172,197,201,180,1
50664,235,219,163,2012-01-08,64844.0,172,197,201,180,1
50665,235,120,224,2013-04-26,64845.0,172,191,201,174,1
50666,235,219,163,2015-04-15,64846.0,172,197,201,180,1
50668,219,235,113,2016-06-24,64848.0,197,172,180,201,1
50670,120,235,169,2016-05-17,64850.0,191,172,174,201,1
50671,216,235,190,2011-03-06,64853.0,153,172,149,201,1
50673,203,235,231,2015-04-14,64857.0,124,172,149,201,1
50675,219,235,113,2015-01-12,64863.0,197,172,180,201,1
50677,219,235,113,2014-04-23,64864.0,197,172,180,201,1
50680,203,235,231,2015-08-25,64870.0,124,172,149,201,1
50681,203,235,231,2014-07-29,64871.0,124,172,149,201,1
50682,203,235,231,2014-04-30,64875.0,124,172,149,201,1
50684,235,219,163,2015-11-03,64878.0,172,197,201,180,1
50690,203,235,231,2016-09-13,64887.0,124,172,149,201,1
50692,235,120,224,2013-02-21,64889.0,172,191,201,174,1
50694,219,235,113,2014-10-22,64894.0,197,172,180,201,1
50695,219,235,113,2015-10-12,64897.0,197,172,180,201,1
50699,235,120,224,2016-07-13,64910.0,172,191,201,174,1
50700,145,219,168,2010-10-08,64912.0,166,197,201,180,1
50705,235,217,175,2011-03-09,64915.0,172,197,201,180,1
50709,129,235,200,2011-12-30,64922.0,124,172,149,201,1
50710,219,235,113,2012-10-25,64923.0,197,172,180,201,1
50712,219,145,157,2011-08-01,64927.0,197,166,180,201,1
50714,219,235,113,2016-09-02,64929.0,197,172,180,201,1
50715,219,235,113,2016-11-02,64931.0,197,172,180,201,1
50716,216,235,190,2011-01-10,64931.0,153,172,149,201,1
50718,219,235,113,2014-03-27,64932.0,197,172,180,201,1
50720,203,235,231,2011-10-13,64935.0,124,172,149,201,1
50721,235,219,163,2012-02-16,64936.0,172,197,201,180,1
50726,203,235,231,2015-12-05,64944.0,124,172,149,201,1
50728,219,235,113,2015-04-11,64948.0,197,172,180,201,1
50731,219,235,113,2010-05-03,64953.0,197,172,180,201,1
50732,219,235,113,2014-11-21,64955.0,197,172,180,201,1
50734,129,235,200,2014-01-05,64957.0,124,172,149,201,1
50735,235,120,224,2015-10-17,64957.0,172,191,201,174,1
50737,120,235,169,2011-05-07,64961.0,191,172,174,201,1
50738,235,219,163,2014-09-18,64962.0,172,197,201,180,1
50739,129,235,200,2014-05-20,64962.0,124,172,149,201,1
50740,120,235,169,2012-11-07,64963.0,191,172,174,201,1
50742,120,235,169,2015-08-20,64969.0,191,172,174,201,1
50746,120,235,169,2015-01-15,64983.0,191,172,174,201,1
50747,235,216,112,2010-05-26,64986.0,172,153,201,149,1
50748,219,235,113,2015-06-25,64986.0,197,172,180,201,1
50752,179,235,221,2013-03-03,65000.0,132,172,132,201,1
50753,128,235,230,2013-09-07,65003.0,126,172,174,201,1
50754,216,162,184,2010-09-25,65003.0,153,110,149,201,1
50755,128,235,230,2010-03-28,65004.0,126,172,174,201,1
50757,235,120,224,2016-04-03,65008.0,172,191,201,174,1
50760,235,120,224,2014-02-04,65013.0,172,191,201,174,1
50762,235,219,163,2015-08-18,65015.0,172,197,201,180,1
50763,128,235,230,2012-08-31,65015.0,126,172,174,201,1
50764,235,216,112,2010-05-14,65018.0,172,153,201,149,1
50766,128,235,230,2012-02-25,65026.0,126,172,174,201,1
50767,128,235,230,2013-08-23,65027.0,126,172,174,201,1
50773,233,235,108,2015-07-21,65039.0,206,172,201,201,1
50774,120,233,152,2015-07-21,65039.0,191,206,174,201,1
50775,219,235,113,2011-08-03,65045.0,197,172,180,201,1
50776,235,219,163,2012-09-27,65047.0,172,197,201,180,1
50777,235,216,112,2011-11-25,65049.0,172,153,201,149,1
50778,128,235,230,2012-06-10,65049.0,126,172,174,201,1
50779,216,162,184,2010-09-27,65050.0,153,110,149,201,1
50781,235,216,112,2010-04-14,65060.0,172,153,201,149,1
50782,219,235,113,2014-05-22,65060.0,197,172,180,201,1
50783,235,120,224,2011-05-11,65061.0,172,191,201,174,1
50785,219,235,113,2011-08-07,65065.0,197,172,180,201,1
50789,235,120,224,2011-10-15,65068.0,172,191,201,174,1
50790,235,120,224,2015-05-29,65069.0,172,191,201,174,1
50796,235,120,224,2015-04-03,65087.0,172,191,201,174,1
50797,235,120,224,2015-01-29,65091.0,172,191,201,174,1
50798,235,120,224,2015-06-26,65092.0,172,191,201,174,1
50801,129,235,200,2010-08-18,65103.0,124,172,149,201,1
50804,203,235,231,2015-10-20,65105.0,124,172,149,201,1
50810,235,217,175,2010-12-20,65118.0,172,197,201,180,1
50811,203,235,231,2015-10-27,65121.0,124,172,149,201,1
50812,235,120,224,2011-12-20,65129.0,172,191,201,174,1
50815,216,235,190,2011-02-07,65135.0,153,172,149,201,1
50816,235,216,112,2012-07-20,65137.0,172,153,201,149,1
50818,235,120,224,2016-10-14,65141.0,172,191,201,174,1
50819,235,217,175,2011-04-06,65142.0,172,197,201,180,1
50821,120,235,169,2013-01-17,65147.0,191,172,174,201,1
50824,179,235,221,2014-07-27,65153.0,132,172,132,201,1
50825,235,120,224,2014-07-17,65158.0,172,191,201,174,1
50828,219,235,113,2012-06-20,65168.0,197,172,180,201,1
50829,120,235,169,2015-04-22,65173.0,191,172,174,201,1
50831,179,235,221,2016-06-07,65180.0,132,172,132,201,1
50833,219,235,113,2012-02-11,65182.0,197,172,180,201,1
50834,219,235,113,2014-03-26,65183.0,197,172,180,201,1
50835,219,235,113,2015-10-07,65183.0,197,172,180,201,1
50836,128,235,230,2016-07-17,65187.0,126,172,174,201,1
50837,235,219,163,2011-01-12,65189.0,172,197,201,180,1
50838,235,120,224,2015-11-26,65190.0,172,191,201,174,1
50839,120,235,169,2014-09-17,65198.0,191,172,174,201,1
50841,145,219,168,2010-04-27,65201.0,166,197,201,180,1
50842,120,235,169,2014-08-04,65201.0,191,172,174,201,1
50843,203,235,231,2013-11-05,65202.0,124,172,149,201,1
50845,219,235,113,2016-08-04,65212.0,197,172,180,201,1
50846,129,235,200,2014-03-07,65212.0,124,172,149,201,1
50847,216,235,190,2012-09-16,65212.0,153,172,149,201,1
50848,235,120,224,2016-11-05,65214.0,172,191,201,174,1
50849,235,120,224,2010-09-03,65217.0,172,191,201,174,1
50854,203,235,231,2014-08-22,65220.0,124,172,149,201,1
50856,219,235,113,2013-06-04,65224.0,197,172,180,201,1
50858,219,235,113,2011-04-20,65229.0,197,172,180,201,1
50860,219,235,113,2016-03-02,65234.0,197,172,180,201,1
50863,219,235,113,2015-12-11,65238.0,197,172,180,201,1
50866,129,235,200,2010-07-13,65243.0,124,172,149,201,1
50868,219,235,113,2015-02-19,65244.0,197,172,180,201,1
50869,203,235,231,2011-04-09,65244.0,124,172,149,201,1
50871,120,235,169,2012-11-27,65246.0,191,172,174,201,1
50878,235,217,175,2011-03-21,65257.0,172,197,201,180,1
50884,120,235,169,2016-11-05,65265.0,191,172,174,201,1
50886,235,217,175,2010-11-20,65268.0,172,197,201,180,1
50889,235,219,163,2014-08-04,65273.0,172,197,201,180,1
50890,216,235,190,2011-03-07,65273.0,153,172,149,201,1
50894,216,162,184,2010-03-07,65275.0,153,110,149,201,1
50895,235,216,112,2010-06-20,65277.0,172,153,201,149,1
50897,203,235,231,2015-05-05,65280.0,124,172,149,201,1
50901,216,235,190,2011-06-08,65283.0,153,172,149,201,1
50903,233,235,108,2015-04-25,65283.0,206,172,201,201,1
50904,120,233,152,2015-04-25,65283.0,191,206,174,201,1
50905,235,219,163,2013-08-14,65284.0,172,197,201,180,1
50906,203,235,231,2014-11-12,65285.0,124,172,149,201,1
50908,235,219,163,2015-06-21,65289.0,172,197,201,180,1
50910,235,120,224,2016-10-06,65290.0,172,191,201,174,1
50911,219,235,113,2016-06-04,65293.0,197,172,180,201,1
50912,179,235,221,2012-05-13,65293.0,132,172,132,201,1
50914,235,116,194,2015-05-20,65294.0,172,160,201,174,1
50915,219,235,113,2013-08-27,65295.0,197,172,180,201,1
50916,235,120,224,2015-01-27,65298.0,172,191,201,174,1
50917,128,235,230,2012-04-19,65298.0,126,172,174,201,1
50918,235,120,224,2010-10-02,65303.0,172,191,201,174,1
