,ORG,DST,SECTOR_ID,SDD,TOTAL_CORE,ORG_CTRY,DST_CTRY,ORG_REGION,DST_REGION,IN_SCOPE
49679,161,235,210,2016-02-10,63127.0,126,172,174,201,1
49680,162,219,170,2016-10-28,63127.0,110,197,201,180,1
49681,219,235,113,2014-05-15,63128.0,197,172,180,201,1
49683,235,219,163,2013-10-16,63130.0,172,197,201,180,1
49684,235,120,224,2012-10-16,63132.0,172,191,201,174,1
49685,120,235,169,2015-07-28,63132.0,191,172,174,201,1
49688,219,235,113,2012-10-08,63134.0,197,172,180,201,1
49689,203,235,231,2014-07-01,63138.0,124,172,149,201,1
49691,219,235,113,2012-01-19,63141.0,197,172,180,201,1
49692,203,235,231,2012-04-28,63141.0,124,172,149,201,1
49693,120,235,169,2015-04-14,63142.0,191,172,174,201,1
49694,235,216,112,2011-04-08,63143.0,172,153,201,149,1
49695,219,235,113,2016-03-16,63144.0,197,172,180,201,1
49696,203,235,231,2015-02-13,63145.0,124,172,149,201,1
49697,235,120,224,2014-05-23,63147.0,172,191,201,174,1
49698,219,235,113,2015-01-04,63149.0,197,172,180,201,1
49699,235,120,224,2015-07-03,63150.0,172,191,201,174,1
49701,235,216,112,2010-03-02,63152.0,172,153,201,149,1
49704,219,235,113,2013-06-12,63153.0,197,172,180,201,1
49706,219,235,113,2015-10-21,63154.0,197,172,180,201,1
49708,129,235,200,2014-09-21,63158.0,124,172,149,201,1
49711,235,120,224,2015-02-12,63161.0,172,191,201,174,1
49717,216,235,190,2012-04-13,63169.0,153,172,149,201,1
49718,219,235,113,2012-06-01,63175.0,197,172,180,201,1
49721,216,162,184,2010-10-07,63182.0,153,110,149,201,1
49722,120,235,169,2016-04-20,63184.0,191,172,174,201,1
